Title,District,Address,Beds,Baths,House size,Land size,Price
House for Rent Balangoda,Ratnapura,"Balangoda,Rathnapura",5,2,"3,000.0 sqft",90.0 perches,"Rs 48,000"
House for Rent Ampara,Ampara,"Ampara,Sangaman Kanda",3,2,"4,500.0 sqft",38.0 perches,"Rs 34,000"
House Rent in Matara,Matara,Unella palatuwa Matara,3,1,"1,600.0 sqft",20.0 perches,"Rs 31,000"
House for Rent in Nuwara Eliya City,Nuwara Eliya,Nuwara Eliya City,3,1,"2,000.0 sqft",20.0 perches,"Rs 34,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",3,1,"2,000.0 sqft",24.0 perches,"Rs 35,000"
House for Rent in Galle,Galle,"Galle City, Galle",3,2,"2,000.0 sqft",30.0 perches,"Rs 40,000"
House for Rent in Gampaha,Gampaha, Gampaha,4,1,"2,500.0 sqft",30.0 perches,"Rs 42,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",3,1,"2,000.0 sqft",20.0 perches,"Rs 28,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",4,2,"2,500.0 sqft",26.0 perches,"Rs 38,000"
House for Rent Kandy,Kandy,"4/66 A, Nagastanna, Road, Kandy.",2,1,600.0 sqft,8.0 perches,"Rs 19,000"
House For Rent Gampaha,Gampaha,"90/1 Madelgamuwa, Gampaha",1,1,600.0 sqft,8.0 perches,"Rs 16,000"
House Rent Colombo,Colombo,Battaramulla,2,1,"5,445.0 sqft",20.0 perches,"Rs 35,000"
House Rent in Matara,Matara,"Matara City, Matara",2,1,"1,450.0 sqft",14.0 perches,"Rs 25,000"
 House for Rent Ellawala ,Ratnapura,"Ellawala, Rathnapura ",2,1,"1,150.0 sqft",12. 0 perches,"Rs 20,000"
House for Rent in Ampara,Ampara,"Gunawardhana Mw,Ampara",4,2,"3,500.0 sqft",22.8 perches,"Rs 38,700."
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",2,1,600.0 sqft,10.0 perches,"Rs 16,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",4,1,"2,300.0 sqft",25.0 perches,"Rs 36,000"
House for Rent in Matale Pallepola,Matale,"pallepola, matale",2,1,600.0 sqft,8.0 perches,"Rs 15,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",3,2,"2,500.0 sqft",22.0 perches,"Rs 40,000"
House for Rent Kandy,Kandy,"Aruppola, Kandy",2,1,"1,400.0 sqft",14.0 perches,"Rs 25,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",2,1,600.0 sqft,9.0 perches,"Rs 18,000"
House for Rent in Kurunegala,Kurunegala,"Dambokka, Polgahawela.",3,2,"2,600.0 sqft",25.0 perches,"Rs 34,000."
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",4,2,"2,400.0 sqft",25.0 perches,"Rs 42,000"
House for Rent in Matale,Matale,"Matale City, Matale",4,2,"2,500.0 sqft",30.0 perches,"Rs 45,000"
House for Rent,Trincomalee,"Trincomalee City, Trincomalee",2,2,1200.0 sqft,11.0 perches,"Rs 27,000"
House for rent in Warakapola,Kegalle,"Thaliyadda,Dorawaka",4,1,"2,500.0 sqft",53.0 perches,"Rs 32,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",2,1,600.0 sqft,10.0 perches,"Rs 16,000"
House for Rent,Nuwara Eliya,"Nuwara Eliya City, Nuwara Eliya",2,1,850.0 sqft,11.0 perches,"Rs 24,000"
