Title,District,Address,Beds,Baths,House size,Land size,Price
House For Rent In Polgahawela,Kurunegala,"Polgahawela,Kurunegala",2,2,"1,000.0 sqft",68.0 perches,"Rs 23,000."
House for Rent in Galle,Galle,"Galle City, Galle",2,1,"1,000.0 sqft",10.0 perches,"Rs 25,000"
House for Rent Kandy,Kandy,"Kandy City, Kandy",3,1,"1,800.0 sqft",22.0 perches,"Rs 33,000"
Wekada Ampagala Ruwanwella,Kegalle,"Kappagoda Road, Siyambalapitiya, Mawanella",2,1,"4,901.0 sqft",18.0 perches,"Rs 25,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",4,1,"2,300.0 sqft",26.0 perches,"Rs 37,000"
House for Rent in Matale,Matale,"Matale City, Matale",3,1,"2,200.0 sqft",22.0 perches,"Rs 28,000"
House for Rent in Polonnaruwa,Polonnaruwa,"Polonnaruwa City, Polonnaruwa",3,2,"2,200.0 sqft",24.0 perches,"Rs 34,000"
House For Rent In Nuwara Eliya,Nuwara Eliya,Nuwara Eliya City,2,2,"1,200.0 sqft",11.0 perches,"Rs 27,000"
House for Rent,Trincomalee,"Trincomalee City, Trincomalee",4,3,2500.0 sqft,25.0 perches,"Rs 48,000"
House for Rent Kandy,Kandy,"Kandy City, Kandy",2,1,"1,450.0 sqft",14.0 perches,"Rs 25,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",3,2,"2,300.0 sqft",24.0 perches,"Rs 36,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",4,2,"2,500.0 sqft",30.0 perches,"Rs 43,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",2,2,"1,000.0 sqft",12.0 perches,"Rs 26,000"
House for Rent in Matale,Matale,"Matale City, Matale",2,1,1000.0 sqft,10.0 perches,"Rs 20,000"
House for Rent,Trincomalee,"Trincomalee City, Trincomalee",2,2,1000.0 sqft,12.0 perches,"Rs 26,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",2,1,"6,534.0 sqft",24.0 perches,"Rs 25,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",2,1,700.0 sqft,10.0 perches,"Rs 20,000"
House For Rent In Hambantota,Hambantota,"Tangalle, Hambantota",3,1,"2,000.0 sqft",20.0 perches,"Rs 28,000"
House for Rent in Matale,Matale,"Matale City, Matale",3,1,"2,400.0 sqft",25.0 perches,"Rs 34,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",2,1,1200.0 sqft,12.0 perches,"Rs 20,000"
House for Rent in Galle,Galle,"Galle City, Galle",2,1,700.0 sqft,8.0 perches,"Rs 24,000"
House for Rent,Trincomalee,"Trincomalee City, Trincomalee",2,2,1200.0 sqft,13.0 perches,"Rs 28,000"
House for Rent in Mawanella,Kegalle,"Rankotdiwela, Mawanella",5,2,200.0 sqft,11.5 perches,"Rs 47,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",4,2,"2,500.0 sqft",30.0 perches,"Rs 45,000"
House for Rent Kandy,Kandy,"Kandy City, Kandy",3,1,"2,000.0 sqft",22.0 perches,"Rs 34,000"
House for Rent in Veerachcholai,Ampara,"Ampara,Veerachcholai",5,1,"6,500.0 sqft",35.0 perches,"Rs 36,000"
House Rent in Matara,Matara,"Matara City, Matara",3,2,"2,300.0 sqft",25.0 perches,"Rs 38,000"
House for Rent Kandy,Kandy,"Peradeniya, Kandy",3,2,"2,300.0 sqft",25.0 perches,"Rs 38,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",3,2,"2,200.0 sqft",24.0 perches,"Rs 36,000"
House Rent Colombo,Colombo,Walpola,2,1,"1,000.0 sqft",17.0 perches,"Rs 30,000"
House for Rent in Polonnaruwa,Polonnaruwa,"Polonnaruwa City, Polonnaruwa",2,1,800.0 sqft,14.0 perches,"Rs 24,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",2,2,"1,300.0 sqft",13.0 perches,"Rs 30,000"
House for Rent Ampara,Ampara,"Ampara,Irakkamam",2,1,"1,500.0 sqft",20.0 perches,"Rs 15,000"
House Rent Colombo,Colombo,Godagama,2,1,"1,300.0 sqft",3.0 perches,"Rs 27,000"
2 Story Single House for Rent Kurengala Ibbagumuva,Kurunegala,Kurenagala Ibagamuva,5,3,"2,000.0 sqft",35.0 perches,"Rs 50,000"
House For Rent In Hambantota,Hambantota,"Gabada Handiya, Mayurapura, Hambantota",4,2,"2,500.0 sqft",30.0 perches,"Rs 45,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",2,1,"1,000.0 sqft",11.0 perches,"Rs 25,000"
House for Rent in Eheliyagoda,Ratnapura,"Moragala,Eheliyagoda",2,1,"1,000.0 sqft",10. 0 perches,"Rs 15,000"
House for Rent,Nuwara Eliya,"Nuwara Eliya City, Nuwara Eliya",2,2,"1,000.0 sqft",12.0 perches,"Rs 26,000"
House for Rent in Trincomalee,Trincomalee,"Trincomalee City, Trincomalee",3,2,2500.0 sqft,22.0 perches,"Rs 40,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",3,1,"2,000.0 sqft",20.0 perches,"Rs 28,000"
House For Rent In Hambantota,Hambantota,Hambantota City,2,1,700.0 sqft,9.0 perches,"Rs 16,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",2,2,"1,200.0 sqft",13.0 perches,"Rs 28,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",2,1,"1,450.0 sqft",14.0 perches,"Rs 25,000"
House Rent Colombo,Colombo,Mount lavinia,4,1,"1,100.0 sqft",10.0 perches,"Rs 50,000"
House for Rent in Nuwaraeliya,Nuwara Eliya,69/3 lady macclum road hawaeliya nuwaraeliya,4,3,"2,500.0 sqft",25.0 perches,"Rs 55,000"
House for Rent in Eheliyagoda,Ratnapura,"Bulugahapitiya, Eheliyagoda",2,1,"1,800.0 sqft",12. 0 perches,"Rs 18,000"
House for Rent in Badulla,Badulla,"Hindagoda, Badulla",3,1,"1,300.0 sqft",13.0 perches,"Rs 30,000"
House for Rent in Karaitivu Ampara,Ampara,"Karaitivu Road,Ampara",2,1,"1,800.0 sqft",27.0 perches,"Rs 17,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",2,1,650.0 sqft,9.0 perches,"Rs 18,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",3,1,"1,500.0 sqft",20.0 perches,"Rs 30,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",3,1,"2,000.0 sqft",20.0 perches,"Rs 34,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",2,2,"1,000.0 sqft",12.0 perches,"Rs 26,000"
House for Rent in Balangoda,Ratnapura,Balangoda,4,1,"1,500.0 sqft",25.0 perches,"Rs 35,000"
House Rent in Matara,Matara,"Matara City, Matara",3,2,"2,200.0 sqft",24.0 perches,"Rs 36,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",4,2,"2,500.0 sqft",24.0 perches,"Rs 45,000"
House Rent in Matara,Matara,"Matara City, Matara",3,1,"2,000.0 sqft",22.0 perches,"Rs 34,000"
House for Rent,Ratnapura,"Ayagama,Rathnapura",2,1,"2,500.0 sqft",20. 0 perches,"Rs 19,700"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",4,3,"2,500.0 sqft",25.0 perches,"Rs 55,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",2,1,850.0 sqft,11.0 perches,"Rs 24,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",4,1,"2,300.0 sqft",25.0 perches,"Rs 39,000"
House for Rent Kalutara,Kalutara,Dodangoda Kaluthara,5,2,"3,000.0 sqft",25.0 perches,"Rs 42,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",4,1,"2,200.0 sqft",24.0 perches,"Rs 36,000"
House for Rent in Kegalle,Kegalle,Wijayapura Garden Udamba Siyambalapitiya Kegalle,4,2,"2,000.0 sqft",13.0 perches,"Rs 38,000"
House for Rent in Galle,Galle,"Galle City, Galle",2,2,"1,200.0 sqft",12.0 perches,"Rs 28,000"
House Rent in Matara,Matara,"Matara City, Matara",4,1,"2,300.0 sqft",25.0 perches,"Rs 38,000"
House for Rent in Matale,Matale,"Matale City, Matale",2,1,1200.0 sqft,12.0 perches,"Rs 20,000"
House for Rent Dehiowita,Kegalle,"Thabiliyana,Dehiowita",2,1,"1,400.0 sqft",10.0 perches,"Rs 17,000."
House for Rent Kurunegala Town,Kurunegala,Kurunegala,5,2,"5,445.0 sqft",20.0 perches,"Rs 50,000"
House for Rent Ruwanwella,Kegalle,Ruwanwella,2,1,1200.0 sqft,10.0 perches,"Rs 23,000"
Annex for Rent - Hambantota,Hambantota,"Beliatta, Hambantota",3,2,"2,300.0 sqft",24.0 perches,"Rs 36,000"
5 Bedroom House For Rent In Nuwara Eliya,Nuwara Eliya,"Hawa Eliya, Nuwara Eliya",5,2,"2,500.0 sqft",24.0 perches,"Rs 45,000"
House for Rent Kandy,Kandy,Kandy Manikhinna Singal Story House for Rent,3,1,"1,500.0 sqft",20.0 perches,"Rs 30,000"
House for Rent in Kuliyapitiya,Kurunegala,"Kuliyapitiya, Kurunegala",2,1,"2,723.0 sqft",10.0 perches,"Rs 20,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",4,3,"2,500.0 sqft",25.0 perches,"Rs 55,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",3,2,"2,200.0 sqft",24.0 perches,"Rs 34,000"
House Rent in Matara,Matara,"Matara City, Matara",3,1,"2,000.0 sqft",24.0 perches,"Rs 35,000"
House for Rent,Gampaha,"Gampaha City, Gampaha",3,2,"2,200.0 sqft",22.0 perches,"Rs 38,000"
House for Rent,Polonnaruwa,"Jayanthipura, Polonnaruwa",2,1,"1,000.0 sqft",14.0 perches,"Rs 25,000"
House for Rent in Galle,Galle,"Galle City, Galle",2,1,700.0 sqft,7.0 perches,"Rs 23,000"
House for Rent,Hambantota,"Tangalle, Hambantota",4,2,"2,400.0 sqft",25.0 perches,"Rs 42,000"
